INCIDENT_ADDRESS,BOROUGH,COMMUNITY_BOARD,POLICE_PRECINCT,CITY_COUNCIL_DISTRICT,BBL,CREATED_DATE,STATUS,RESOLUTION_ACTION,CLOSED_DATE,X_COORDINATE,Y_COORDINATE,LATITUDE,LONGITUDE,ZIP_CODE,CENSUS_TRACT,BIN,NTA,LOCATION,Zip Codes,Community Districts,Borough Boundaries,City Council Districts,Police Precincts
7816 atlantic ave,BROOKLYN,01 BROOKLYN,Unspecified,,,11/21/2017,Open,Property Research Required,,,,,,,,,,,,,,,
3346 CRESCENT STREET,BROOKLYN,01 BROOKLYN,Unspecified,,,01/24/2018,Open,Property Research Required,,,,,,,,,,,,,,,
2309 castle hill ave,BRONX,01 BRONX,Unspecified,,,01/03/2018,Open,Property Research Required,,,,,,,,,,,,,,,
102-46 86 ROAD,QUEENS,09 QUEENS,Precinct 102,32,4091870019,12/28/2017,Open,Site downloaded for cleaning,,1027304,192797,,,,,,,,,,,,
34-29 atlantic ave,QUEENS,01 QUEENS,Unspecified,,,12/07/2017,Open,Property Research Required,,,,,,,,,,,,,,,
206 jamaica ave,QUEENS,01 QUEENS,Unspecified,,,12/18/2017,Open,Property Research Required,,,,,,,,,,,,,,,
2 I AVENUE,BROOKLYN,12 BROOKLYN,Precinct 66,44,3054640001,02/07/2018,Open,Site downloaded for cleaning,,990605,167296,,,,,,,,,,,,
718 5 avenueue,BROOKLYN,01 BROOKLYN,Unspecified,,,11/16/2017,Open,Property Research Required,,,,,,,,,,,,,,,
16th 16th st,BROOKLYN,01 BROOKLYN,Unspecified,,,02/03/2018,Open,Property Research Required,,,,,,,,,,,,,,,
2538 PITKIN AVENUE,BROOKLYN,05 BROOKLYN,Precinct 75,37,3040230016,12/08/2017,Open,Site downloaded for cleaning,,1017929,185013,40.674431,-73.878585,11208,1194  ,3089341,East New York,"(40.674431, -73.878585)",17215,45,2,37,47
24 24 st,QUEENS,01 QUEENS,Unspecified,,,02/13/2018,Open,Property Research Required,,,,,,,,,,,,,,,
2244 picken ave,BROOKLYN,01 BROOKLYN,Unspecified,,,11/21/2017,Open,Property Research Required,,,,,,,,,,,,,,,
WEST 138 STREET AND 8TH AVENUE,MANHATTAN,Unspecified MANHATTAN,Unspecified,,,12/01/2017,Open,Property Research Required,,,,,,,,,,,,,,,
